product_name,price_sale,price,percent_discount,promotion,screen_size,ram,rom,rating_count,rate_average,outstanding_feature
Samsung Galaxy A05S 4GB 128GB,3.590.000đ,3.990.000đ,Giảm 10%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.7 inches,4 GB,128 GB,5,5/5," Hiển thị sống động từng thước phim - Màn hình lớn 6.7"" IPS hiển thị sắc nét |  Vận hành tác vụ mượt mà như mong đợi - Xử lí tốt hơn với chip Snapdragon 680 và RAM 4GB |  Sử dụng thoải mái cả ngày dài - Pin lớn 5000mAh và hỗ trợ sạc nhanh 25W |  Ghi lại trọn vẹn mọi khoảnh khắc - Camera sau đến 50MP đi kèm nhiều chế độ chụp và tính năng cải tiến"
Nubia Neo 8GB 256GB ,4.290.000đ,4.990.000đ,Giảm 14%,"Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",6.6 inches,8 GB,256 GB,34,5/5," Tầm nhìn thoải mái, chiến game không lo ngại - Màn hình 6.6 inch cùng tần số quét 120Hz |  Đa nhiệm mạnh mẽ, thoải mái sử dụng nhiều tác vụ cùng lúc với RAM mở rộng đến 18GB |  Hệ thống làm mát chuyên nghiệp với diện tích tản nhiệt 15416mm² |  Năng lượng cho cả ngày - Pin 4500mAh và sạc nhanh 22.5W"
Xiaomi Redmi 13C 6GB 128GB,2.990.000đ,3.490.000đ,Giảm 14%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.74 inches,6 GB,128 GB,5,5/5,Chipset Helio G85 cho hiệu năng ổn định - Hoạt động mượt mà cho các tác vụ cơ bản hàng ngày. | Hệ thống camera kép mạnh mẽ - Cải thiện độ chi tiết và độ sắc nét cho từng bức ảnh. | Dung lượng pin khổng lồ lên đến 5000 mAh - Giúp bạn thoải mái trải nghiệm nhiều giờ sử dụng liên tục. | Màn hình lớn kích thước 6.74 inch - Mang lại trải nghiệm xem ấn tượng.
iPhone 15 256GB | Chính hãng VN/A,22.890.000đ,25.990.000đ,Giảm 12%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.1 inches,6 GB,256 GB,1,5/5," Thiết kế thời thượng và bền bỉ - Mặt lưng kính được pha màu xu hướng cùng khung viền nhôm bền bỉ |  Dynamic Island hiển thị linh động mọi thông báo ngay lập tức giúp bạn nắm bắt mọi thông tin |  Chụp ảnh đẹp nức lòng - Camera chính 48MP, Độ phân giải lên đến 4x và Tele 2x chụp chân dung hoàn hảo |  Pin dùng cả ngày không lắng lo - Thời gian xem video lên đến 20 giờ và sạc nhanh qua cổng USB-C tiện lợi |  Cải tiến hiệu năng vượt bậc - A16 Bionic mạnh mẽ giúp bạn cân mọi tác vụ dù có yêu cầu đồ hoạ cao"
Samsung Galaxy Z Flip5 512GB,19.790.000đ,29.990.000đ,Giảm 34%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.7 inches,8 GB,512 GB,2,5/5," Galaxy AI tiện ích - Khoanh vùng search đa năng, là trợ lý chỉnh ảnh, trợ lý chat thông minh, phiên dịch trực tiếp |  Thần thái nổi bật, cân mọi phong cách- Lấy cảm hứng từ thiên nhiên với màu sắc thời thượng, xu hướng |  Thiết kế thu hút ánh nhìn - Gập không kẽ hỡ, dẫn đầu công nghệ bản lề Flex |  Tuyệt tác selfie thoả sức sáng tạo - Camera sau hỗ trợ AI xử lí cực sắc nét ngay cả trên màn hình ngoài |  Bền bỉ bất chấp mọi tình huống - Đạt chuẩn kháng bụi và nước IPX8 cùng chất liệu nhôm Armor Aluminum giúp hạn chế cong và xước"
iPhone 15 Plus 256GB | Chính hãng VN/A,25.690.000đ,28.990.000đ,Giảm 11%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.7 inches,6 GB,256 GB,null,null, Thiết kế dẫn đầu xu hướng - Nhiều màu sắc trendy cùng chất liệu kính pha màu và khung nhôm vô cùng bền bỉ |  Nắm bắt và tương tác mọi thông tin dễ dàng hơn với Dynamic Island mở rộng |  Chụp ảnh chân dung xuất sắc mọi khoảnh khắc - Camera chính 48MP với tele 2X và chế độ chỉnh sửa đa dạng |  Hiệu năng cân mọi tác vụ - A16 Bionic mạnh mẽ cho mọi thao tác mượt mà và nhanh chóng
Điện thoại Nubia V60 Design 6GB 256GB,3.090.000đ,3.290.000đ,Giảm 6%,"Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",6.6 inches,6 GB,256 GB,null,null,"Tần số quét 90Hz mang đến trải nghiệm hình ảnh mượt mà và sống động, với tốc độ làm mới cao và màu sắc rực rỡ. | Chip Unisoc T606mang đến hiệu năng mạnh mẽ, cho phép bạn xử lý các tác vụ hàng ngày một cách mượt mà và chơi game một cách hiệu quả. | Bộ nhớ trong 256GB cung cấp đủ không gian lưu trữ cho ảnh, video, nhạc và các ứng dụng của bạn. | Camera sau 50MP + 2MP cho phép bạn chụp ảnh chất lượng cao, với độ chi tiết cao và màu sắc rực rỡ. "
iPhone 12 64GB | Chính hãng VN/A ,10.990.000đ,15.990.000đ,Giảm 31%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.1 inches,4 GB,64 GB,73,5/5," Mạnh mẽ, siêu nhanh với chip A14, RAM 4GB, mạng 5G tốc độ cao |  Rực rỡ, sắc nét, độ sáng cao - Màn hình OLED cao cấp, Super Retina XDR hỗ trợ HDR10, Dolby Vision |  Chụp đêm ấn tượng - Night Mode cho 2 camera, thuật toán Deep Fusion, Smart HDR 3 |  Bền bỉ vượt trội - Kháng nước, kháng bụi IP68, mặt lưng Ceramic Shield"
Samsung Galaxy M34 5G 8GB 128GB,5.890.000đ,7.990.000đ,Giảm 26%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.5 inches,8 GB,128 GB,8,5/5,"Nâng cao hiệu suất của bạn với bộ xử lý cực nhanh Exynos 1280 - 5nm.  | Công nghệ Voice Focus - Cuộc gọi video và âm thanh của bạn luôn được rõ ràng hơn. | Pin cực khỏe 6000mAh cho bạn thoải mái sử dụng cả ngày dài. | Thiết kế sang trọng, sở hữu những gam màu thời thượng khơi dậy những ngày mới của bạn."
iPhone 11 128GB | Chính hãng VN/A ,10.190.000đ,13.990.000đ,Giảm 27%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.1 inches,4 GB,128 GB,58,5/5," Màu sắc phù hợp cá tính - 6 màu sắc bắt mắt để lựa chọn |  Hiệu năng mượt mà, ổn định - Chip A13, RAM 4GB |  Bắt trọn khung hình - Camera kép hỗ trợ góc rộng, chế độ Night Mode |  Yên tâm sử dụng - Kháng nước, kháng bụi IP68, kính cường lực Gorilla Glass"
