product_id,main_camera_mp (MP),wide_camera_mp (MP),tele_camera_mp (MP),macro_camera_mp (MP),wide_camera_aperture (f/),tele_camera_aperture (f/),macro_camera_aperture (f/)
55753,8.0,5.0,2.0,2.0,1.0,1.0,1.75
71982,8.0,5.0,2.0,2.0,1.0,1.0,1.75
65137,8.0,5.0,2.0,2.0,1.0,1.0,1.75
74864,8.0,5.0,2.0,2.0,1.0,1.0,1.75
64927,8.0,5.0,2.0,2.0,1.0,1.0,1.75
73650,8.0,5.0,2.0,2.0,1.0,1.0,1.75
91445,8.0,5.0,2.0,2.0,1.0,1.0,1.75
49700,8.0,5.0,2.0,2.0,1.0,1.0,1.75
83040,8.0,5.0,2.0,2.0,1.0,1.0,1.75
72330,8.0,5.0,2.0,2.0,1.0,1.0,1.75
62717,8.0,5.0,2.0,2.0,1.0,1.0,1.75
59595,8.0,50.0,2.0,2.0,1.0,1.0,1.75
78051,8.0,5.0,2.0,2.0,1.0,1.0,1.75
67726,64.0,8.0,2.0,2.0,1.0,1.0,1.75
86449,8.0,5.0,2.0,2.0,1.0,1.0,1.75
58610,8.0,5.0,2.0,2.0,2.0,1.0,1.75
74179,8.0,5.0,2.0,2.0,1.0,1.0,1.75
33626,8.0,5.0,2.0,2.0,1.0,1.0,1.75
63068,8.0,5.0,2.0,2.0,1.0,1.0,1.75
59734,48.0,48.0,64.0,2.0,1.0,2.2,1.75
79120,8.0,5.0,2.0,2.0,1.0,1.0,1.75
82889,8.0,5.0,2.0,2.0,1.9,1.0,1.75
61508,8.0,5.0,2.0,2.0,1.0,1.0,1.75
87123,8.0,5.0,2.0,2.0,1.0,1.0,1.75
77301,50.0,5.0,2.0,2.0,1.0,1.0,1.75
84612,8.0,5.0,2.0,2.0,1.0,2.2,1.75
90306,8.0,5.0,2.0,2.0,1.0,1.0,1.75
29796,8.0,5.0,2.0,2.0,1.8,1.0,1.75
73771,8.0,5.0,2.0,2.0,1.0,1.0,1.75
90117,48.0,48.0,12.0,2.0,1.6,1.0,1.75
36486,8.0,12.0,2.0,2.0,1.6,1.0,1.75
33627,8.0,5.0,2.0,2.0,1.0,1.0,2.2
56698,8.0,5.0,2.0,2.0,1.0,1.0,1.75
78197,8.0,5.0,2.0,2.0,1.0,1.0,1.75
64928,8.0,5.0,2.0,2.0,1.0,1.0,1.75
92113,48.0,48.0,12.0,2.0,1.6,1.0,1.75
51797,8.0,5.0,2.0,2.0,1.0,1.0,1.75
58855,8.0,5.0,2.0,2.0,1.0,1.0,1.75
42153,8.0,5.0,2.0,2.0,1.0,1.0,1.75
88459,32.0,5.0,2.0,2.0,1.0,1.0,1.75
60927,8.0,5.0,2.0,2.0,1.0,1.0,1.75
66832,8.0,5.0,2.0,2.0,1.0,1.0,1.75
68168,8.0,5.0,2.0,2.0,1.0,1.0,1.75
79220,8.0,5.0,2.0,2.0,1.0,1.0,1.75
84614,8.0,5.0,2.0,2.0,1.0,1.0,1.75
90677,8.0,5.0,2.0,2.0,1.0,1.0,1.75
25863,8.0,5.0,2.0,2.0,1.0,1.0,1.75
90115,48.0,12.0,2.0,2.0,1.0,1.0,1.75
54152,8.0,5.0,2.0,2.0,1.0,1.0,1.75
