product_id,camera_video
24746,"Trước: 4K@24/30/60fps, 1080p@30/60/120fps, gyro-EISSau: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec."
60617,"8K@24fps (HDR), 4K@24/30/60fps (HDR10+, 10-bit Dolby Vision HDR, 10-bit LOG), 1080p@30/120/240/960fps, 1080p@1920fps, gyro-EIS"
88564,FHD (1920 x 1080)@60fps120fps @HD
72748,"8K@24/30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 1080p@960fps"
72328,"1080p 30fps, 720p 30fps"
69512,HD 720p@30fpsFullHD 1080p@30fps
72750,"8K@24/30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 1080p@960fps"
90478,1080p@30fpsTrôi nhanh thời gian (Time lapse)Video ngắnAI CAMLàm đẹp (Beautify)Chế độ chân dungChụp ARToàn cảnhBan đêm (Night Mode)
86450,1080p@30fps
88446,1080p@30fps
42973,"8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+"
60880,"4K@30fps, 1080p@30/60fps; gyro-EIS"
72337,"1440p @ 30 fps, 1080p @ 30/60 fps"
82915,N/A
72331,N/A
73016,FullHD 1080p@30fpsHD 720p@120/30fps
27473,"Trước: 4K@24/30/60fps, 1080p@30/60/120fps, gyro-EISSau: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec."
75815,1080p@30fps720p@30fps
83041,4K HDR 120fps
84107,"8K 4320p@24fps4K 2160p@60/30fps,br>FullHD 1080p@60/30fpsHD 720p@960/30fps"
68864,4K@24/25/30/60 fpsHD 1080p@25/30/60 fpsHD 720p@30 fps
44936,"1080p@30fps, 720p@30fps"
65136,N/A
72211,HD 720p@30fpsFullHD 1080p@30fps
73942,"4K@30fps1080@30/60/480 fps, gyro-EIS"
42337,HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@60fps4K 2160p@30fps
75812,1440p@30fps
64877,N/A
33487,4K@24/25/30/60fps1080p HD @25/30/60fps720p HD@30fps
60401,1080p@30fps
71982,N/A
59595,1080p@30fps
64927,"1440p@30fps, 1080p@30fps"
