product_id,megapixels (MP),wide_camera_mp (f/)
63900,32.0,2.5
35922,20.0,1.8
64269,32.0,2.4
28988,13.0,2.4
67369,16.0,2.45
72501,32.0,2.4
60165,16.0,2.5
72216,50.0,2.5
74344,16.0,1.8
67731,16.0,2.0
53276,32.0,2.4
62345,0.0,1.8
72192,8.0,1.8
66362,32.0,1.8
63453,25.0,2.0
55513,8.0,1.8
78042,50.0,2.0
49581,8.0,2.0
62323,8.0,1.8
63070,16.0,2.2
59052,8.0,2.0
60679,32.0,2.0
74345,16.0,1.8
67356,5.0,2.2
63454,8.0,2.0
52303,32.0,1.8
85457,32.0,1.8
72190,8.0,2.2
17861,16.0,1.8
72225,5.0,2.2
81356,8.0,1.8
55531,8.0,2.4
55691,16.0,1.8
56135,6.0,2.3
66254,16.0,1.8
31299,16.0,2.4
81109,50.0,2.4
76433,32.0,2.0
55519,8.0,2.0
51784,16.0,1.8
30767,20.0,1.8
55529,8.0,2.4
55522,8.0,1.8
50260,8.0,2.0
62301,32.0,1.8
56132,16.0,1.8
64075,16.0,1.8
59250,8.0,2.0
52473,16.0,1.8
50842,8.0,1.8
64468,16.0,1.8
84535,32.0,1.8
66246,16.0,2.5
55532,8.0,2.0
55760,7.0,2.2
72116,8.0,2.0
62035,32.0,2.4
64469,50.0,1.8
39979,8.0,2.0
25889,16.0,2.4
54451,32.0,2.4
14119,16.0,2.0
79116,5.0,2.2
50203,16.0,2.5
54287,5.0,2.0
54277,60.0,2.4
50696,5.0,2.0
54962,32.0,1.8
64076,16.0,1.8
67959,16.0,1.8
78905,8.0,2.0
64074,16.0,2.4
49970,16.0,2.5
69536,16.0,1.8
67549,16.0,1.8
35117,20.0,1.8
54278,8.0,2.2
46948,20.0,1.8
79124,16.0,2.45
84532,50.0,1.8
55508,16.0,2.0
67957,16.0,2.0
84349,50.0,1.8
76438,32.0,1.8
72115,8.0,2.0
77350,12.0,1.8
81358,8.0,1.8
54276,12.0,2.0
62020,16.0,2.5
50202,16.0,2.5
61507,50.0,2.0
76428,32.0,1.8
81323,8.0,1.8
67046,32.0,1.8
76429,32.0,1.8
92291,8.0,1.8
84467,8.0,1.8
72203,32.0,1.8
51344,16.0,1.8
62351,0.0,1.8
63752,8.0,1.8
66243,16.0,1.8
76427,32.0,1.8
54944,32.0,2.5
46954,8.0,2.0
49582,16.0,2.0
62036,60.0,2.2
62039,50.0,2.0
62327,16.0,2.4
59266,16.0,2.5
64070,16.0,2.4
72509,13.0,1.8
51335,8.0,2.0
54268,5.0,2.2
44998,5.0,1.8
63941,10.0,1.8
64071,5.0,1.8
59268,8.0,2.0
59600,16.0,2.4
50680,16.0,1.8
82085,16.0,1.8
64065,50.0,1.8
67739,8.0,1.8
46378,16.0,2.5
73394,8.0,2.0
65348,20.0,2.4
64063,50.0,2.4
77575,16.0,1.8
61799,42.0,2.4
72206,32.0,1.8
67365,0.0,1.8
60345,32.0,1.8
75808,32.0,2.2
73019,32.0,1.8
72752,16.0,1.8
74662,8.0,2.05
76444,44.0,1.8
67364,5.0,1.8
67370,50.0,2.4
67728,32.0,2.0
59253,5.0,2.0
72209,8.0,1.8
55067,5.0,1.8
64471,32.0,1.8
63455,32.0,2.2
67377,13.0,1.8
53790,5.0,2.0
62719,8.0,2.0
61509,8.0,2.0
51221,8.0,2.0
25779,16.0,2.0
66240,8.0,1.8
54269,13.0,1.8
54815,8.0,2.0
87089,24.0,1.8
67360,5.0,2.2
53791,5.0,1.8
54940,10.0,2.2
76434,32.0,2.0
67960,16.0,2.1
62042,5.0,1.8
32201,32.0,1.8
59251,5.0,1.8
55534,8.0,2.0
59291,5.0,2.4
60681,2.0,1.8
46377,44.0,1.8
50201,5.0,1.8
51798,16.0,2.0
62411,5.0,1.8
62867,16.0,1.8
63072,16.0,1.8
50226,32.0,1.8
64068,16.0,2.0
63755,8.0,1.8
63071,16.0,1.8
52301,8.0,2.2
63446,8.0,2.0
76431,32.0,1.8
67958,20.0,2.0
62414,8.0,2.0
63074,8.0,2.0
59599,5.0,1.8
63447,8.0,1.8
73018,32.0,1.8
72208,32.0,2.45
46951,16.0,2.5
59601,32.0,1.8
87090,13.0,1.8
76430,32.0,1.8
66368,5.0,1.8
64067,16.0,2.5
67729,24.0,2.0
67961,24.0,2.0
59283,16.0,2.5
62363,5.0,1.8
76435,32.0,2.0
63750,32.0,2.4
63758,8.0,2.0
84346,5.0,1.8
81324,8.0,1.8
52295,13.0,2.4
46952,16.0,2.2
62375,5.0,1.8
60756,16.0,2.4
60923,13.0,1.8
72442,12.0,2.0
52484,8.0,2.0
64472,16.0,1.8
22013,0.0,1.8
73392,8.0,2.0
84341,16.0,1.8
88458,16.0,2.4
54271,16.0,2.5
54671,16.0,1.8
59249,8.0,2.0
62379,0.0,1.8
62381,2.0,1.8
62032,5.0,2.2
62038,16.0,2.45
46953,50.0,2.0
30838,5.0,1.8
49699,2.0,1.8
60346,48.0,1.8
51790,13.0,2.0
67725,16.0,1.8
62372,5.0,1.8
55767,5.0,1.8
22005,8.0,1.8
67727,8.0,1.8
63073,32.0,1.8
64061,50.0,2.0
77349,32.0,1.8
24253,0.0,1.8
52302,16.0,2.0
52481,8.0,2.0
73395,8.0,1.8
55758,16.0,2.5
55934,5.0,2.2
62310,8.0,2.0
63452,8.0,2.0
84466,5.0,2.2
84343,5.0,1.8
79100,8.0,1.8
76432,32.0,1.8
76436,32.0,1.8
63940,10.0,2.2
67724,8.0,1.8
31298,16.0,1.8
31465,24.0,2.5
31466,24.0,2.5
31737,20.0,1.8
30006,32.0,1.8
30135,0.0,1.8
30753,32.0,1.8
16632,0.0,1.8
16790,32.0,1.8
25776,32.0,2.5
12827,12.0,1.8
14374,13.0,1.8
56138,5.0,1.8
53789,8.0,2.0
54267,13.0,2.45
54270,8.0,2.2
54448,8.0,2.0
61499,8.0,2.0
46929,5.0,1.8
46950,8.0,2.0
39758,8.0,1.8
40406,16.0,2.4
40425,32.0,1.8
34883,5.0,1.8
34885,16.0,2.1
43666,0.0,1.8
44346,16.0,1.8
44931,16.0,2.5
44933,32.0,1.8
45224,16.0,1.8
45454,16.0,2.2
35502,16.0,1.8
35507,32.0,2.5
35509,13.0,2.2
33755,8.0,2.0
34230,16.0,2.45
50199,16.0,2.5
49580,16.0,1.8
49630,16.0,2.4
49654,32.0,2.5
35966,8.0,2.0
36290,32.0,1.8
36603,16.0,2.5
36613,16.0,1.8
62034,8.0,2.0
82059,16.0,1.8
48848,8.0,2.0
48379,32.0,2.4
50760,32.0,1.8
66256,8.0,1.8
26791,5.0,1.8
26436,16.0,2.0
52299,8.0,1.8
25888,16.0,2.0
39753,32.0,1.8
40404,8.0,1.8
40419,8.0,2.0
41212,8.0,2.0
44323,16.0,1.8
48376,8.0,1.8
42031,16.0,2.4
41216,16.0,2.45
67738,5.0,1.8
66251,5.0,1.8
50699,8.0,2.2
27979,16.0,1.8
27250,5.0,2.2
27874,8.0,2.0
27252,5.0,1.8
45514,5.0,2.4
42821,8.0,1.8
42105,16.0,2.4
15376,0.0,1.8
11442,8.0,1.9
12682,20.0,1.8
53777,8.0,1.8
13387,8.0,2.0
29463,13.0,1.8
13963,25.0,2.0
13222,24.0,1.8
17230,16.0,1.8
28178,32.0,2.0
15841,32.0,1.8
15842,32.0,1.8
15843,32.0,1.8
26799,20.0,2.0
35513,32.0,1.8
25497,32.0,2.0
17970,0.0,1.8
42029,16.0,1.8
42027,0.0,1.8
19670,32.0,1.8
67047,16.0,1.8
18715,32.0,1.8
82444,13.0,2.2
85499,8.0,1.8
76873,32.0,1.8
77602,16.0,1.8
85500,5.0,2.2
84342,16.0,1.8
85240,16.0,1.8
84465,32.0,1.8
15557,16.0,2.0
76446,44.0,1.8
76437,32.0,1.8
28774,13.0,1.8
60882,13.0,2.2
72335,16.0,1.8
54275,5.0,2.4
37869,16.0,2.5
39977,8.0,2.0
41491,32.0,2.5
43667,8.0,1.8
45260,20.0,2.5
45905,32.0,1.8
44531,12.0,1.8
32663,20.0,2.5
30519,20.0,1.8
30750,16.0,1.8
30773,0.0,1.8
35924,16.0,1.8
35928,16.0,1.8
35951,32.0,1.8
48356,8.0,1.8
48842,5.0,2.0
50451,20.0,1.8
51146,8.0,1.8
48843,8.0,1.8
48844,16.0,1.8
48850,20.0,2.4
49553,16.0,1.8
49554,8.0,1.8
49590,8.0,2.0
49747,8.0,2.0
25890,16.0,2.2
31738,32.0,1.8
30008,8.0,1.8
30345,16.0,2.1
30347,20.0,2.3
64470,16.0,1.8
62041,5.0,1.8
72204,32.0,1.8
60340,8.0,2.0
46943,16.0,2.4
46944,32.0,2.5
46947,5.0,2.0
48302,32.0,2.0
18105,16.0,2.0
45902,8.0,1.8
48348,16.0,1.8
49968,8.0,1.8
16509,16.0,2.0
42336,16.0,1.8
17875,13.0,1.8
16694,32.0,1.8
28515,8.0,2.0
25586,5.0,2.4
49175,16.0,1.8
48864,5.0,2.2
63449,5.0,1.8
67734,5.0,1.8
27866,8.0,1.8
48572,8.0,1.8
42902,8.0,1.8
28187,32.0,2.0
11307,20.0,2.0
12069,20.0,2.0
67736,5.0,1.8
27261,8.0,2.4
42900,8.0,1.8
67375,5.0,1.8
29617,8.0,1.8
28163,5.0,1.8
11312,20.0,2.0
32674,8.0,2.0
54446,16.0,2.5
32359,16.0,1.8
38170,8.0,2.0
38618,16.0,1.8
40411,16.0,2.1
12089,13.0,1.9
26053,32.0,2.2
25661,0.0,1.8
25659,32.0,1.8
48334,8.0,1.8
44935,32.0,1.8
35676,44.0,2.0
25495,20.0,2.0
27257,16.0,2.5
25887,32.0,2.2
36807,32.0,1.8
38149,32.0,1.8
31471,20.0,2.0
28181,8.0,2.0
31733,32.0,1.8
88607,5.0,1.8
84487,5.0,1.8
37845,8.0,1.8
84377,50.0,1.8
87306,8.0,1.8
24091,0.0,1.8
