product_id,megapixels (MP),secondary_megapixels (MP),wide_camera_mp (f/),macro_camera_mp (radian)
54445,16,N/A,2.5,N/A
54484,5,N/A,N/A,N/A
91339,5,N/A,2.2,N/A
50350,32,N/A,2.4,N/A
57498,12,N/A,2.2,N/A
88631,N/A,N/A,N/A,N/A
89100,5,N/A,2.2,N/A
25864,12,N/A,2.2,N/A
33485,12,N/A,2.2,N/A
45051,12,N/A,1.9,N/A
44930,12,N/A,N/A,N/A
62296,20,N/A,2,N/A
46352,32,N/A,2.2,N/A
27451,12,N/A,2.2,N/A
36499,12,N/A,2.2,N/A
67556,13,N/A,2.2,N/A
32364,40,N/A,2.2,N/A
51990,12,N/A,1.9,N/A
44342,12,N/A,2.2,N/A
39188,16,N/A,2,N/A
49700,N/A,N/A,N/A,N/A
55687,16,N/A,N/A,N/A
51997,12,N/A,1.9,N/A
36243,12,N/A,2.2,N/A
88715,N/A,N/A,N/A,N/A
55754,12,N/A,2.2,N/A
68862,12,N/A,1.9,N/A
65313,10,4,2.2,N/A
49745,32,N/A,2.0,N/A
33627,12,N/A,N/A,N/A
42019,16,N/A,2.5,N/A
52306,12,N/A,1.9,N/A
30746,20,N/A,N/A,N/A
38610,10,4,N/A,N/A
78605,8,N/A,N/A,N/A
61511,16,N/A,2.45,N/A
60676,8,N/A,N/A,N/A
32667,16,N/A,2.5,N/A
71941,10,N/A,N/A,N/A
36492,12,N/A,2.2,N/A
49746,32,8,2.4,N/A
49381,20,N/A,N/A,N/A
35034,16,N/A,2.45,N/A
49793,32,N/A,2.0,N/A
62238,16,N/A,N/A,N/A
25217,10,N/A,2.2,N/A
41493,32,32,2.4,N/A
27478,12,N/A,2.2,N/A
44533,20,N/A,2.45,N/A
33630,32,N/A,N/A,N/A
65918,N/A,N/A,N/A,N/A
68867,12,N/A,1.9,N/A
77855,5,N/A,2.2,N/A
57237,5,N/A,N/A,N/A
42898,13,N/A,2.5,N/A
32366,10,N/A,2.2,N/A
33640,8,N/A,2.2,N/A
42339,20,N/A,2.4,N/A
50348,12,N/A,N/A,N/A
75775,5,N/A,N/A,N/A
28517,4,N/A,1.8,N/A
51995,12,N/A,1.9,N/A
73396,16,N/A,2.0,N/A
39407,N/A,N/A,N/A,N/A
61666,N/A,N/A,2.22,N/A
35920,20,N/A,N/A,N/A
57320,32,N/A,N/A,N/A
84464,16,N/A,N/A,N/A
82067,16,N/A,N/A,N/A
90941,N/A,N/A,N/A,N/A
64264,13,N/A,2.5,N/A
42974,40,N/A,2.2,N/A
57372,12,N/A,N/A,N/A
81359,8,N/A,N/A,N/A
70735,16,N/A,N/A,N/A
75778,N/A,N/A,N/A,N/A
71547,N/A,N/A,N/A,N/A
60343,16,N/A,N/A,N/A
64834,32,N/A,2.4,N/A
59296,13,N/A,2.4,N/A
55071,8,N/A,2.2,N/A
56074,16,N/A,N/A,N/A
57708,5,N/A,2.2,N/A
28025,10,N/A,2.2,N/A
62014,16,N/A,2.5,N/A
84472,50,N/A,N/A,N/A
60619,32,N/A,N/A,N/A
78903,13,N/A,2.0,N/A
83579,N/A,N/A,N/A,N/A
75800,0,N/A,2.45,N/A
36493,12,N/A,2.2,N/A
38621,32,N/A,N/A,N/A
50200,16,N/A,N/A,N/A
83340,50,N/A,N/A,N/A
48337,5,N/A,2.2,N/A
66931,8,N/A,2.0,N/A
12436,7,N/A,N/A,N/A
61834,5,N/A,N/A,N/A
84477,50,N/A,N/A,N/A
72210,N/A,N/A,N/A,N/A
77856,50,N/A,2.0,N/A
55068,8,N/A,2.2,N/A
72201,N/A,N/A,N/A,N/A
59598,16,N/A,2.5,N/A
66377,5,N/A,N/A,N/A
36501,12,N/A,2.2,N/A
62012,32,N/A,2.5,N/A
55930,16,N/A,N/A,N/A
89099,8,N/A,N/A,N/A
64073,16,N/A,N/A,N/A
77505,12,N/A,N/A,N/A
51983,12,N/A,1.9,N/A
35084,N/A,N/A,N/A,N/A
73393,32,N/A,2.0,N/A
89224,0,N/A,2.4,N/A
79117,16,N/A,N/A,N/A
48949,10,4,N/A,N/A
57253,16,N/A,2.45,N/A
72207,13,N/A,2.4,N/A
58609,20,N/A,N/A,N/A
55511,8,N/A,2.0,N/A
72113,5,N/A,N/A,N/A
56134,6,N/A,2.3,N/A
88563,N/A,N/A,N/A,N/A
88452,N/A,N/A,N/A,N/A
66929,8,N/A,2.0,N/A
78048,N/A,N/A,N/A,N/A
82061,8,N/A,N/A,N/A
50258,16,N/A,N/A,N/A
83341,N/A,N/A,N/A,N/A
54285,32,32,2.4,N/A
63276,16,N/A,2.45,N/A
61801,12,N/A,N/A,N/A
78379,8,N/A,N/A,N/A
87124,13,N/A,N/A,N/A
49629,16,N/A,2.4,N/A
55763,32,N/A,N/A,N/A
83038,32,N/A,N/A,N/A
63450,8,N/A,N/A,N/A
89107,8,N/A,N/A,N/A
49114,44,8,N/A,N/A
73551,32,N/A,N/A,N/A
72114,8,N/A,2.0,N/A
49112,13,N/A,2.0,N/A
53443,8,N/A,2.0,N/A
71548,24,N/A,N/A,N/A
53192,32,N/A,N/A,N/A
82060,16,N/A,N/A,N/A
73017,16,N/A,N/A,N/A
35897,10,N/A,2.4,N/A
90480,N/A,N/A,N/A,N/A
54449,13,N/A,N/A,N/A
66932,8,N/A,2.0,N/A
81357,8,N/A,N/A,N/A
49260,5,N/A,N/A,N/A
28959,N/A,N/A,N/A,N/A
85242,16,N/A,N/A,N/A
62208,13,N/A,2.4,N/A
86565,5,N/A,2.2,N/A
55509,1,N/A,2.2,N/A
64268,16,N/A,N/A,N/A
85458,32,N/A,N/A,N/A
63188,16,N/A,N/A,N/A
59589,8,N/A,2.0,N/A
64327,16,N/A,2.0,N/A
72198,16,N/A,2.5,N/A
46376,16,N/A,2.5,N/A
65917,N/A,N/A,N/A,N/A
85279,N/A,N/A,N/A,N/A
87082,13,N/A,N/A,N/A
60677,32,N/A,N/A,N/A
25663,20,N/A,2.3,N/A
55079,13,N/A,2.4,N/A
62305,5,N/A,2.0,N/A
26380,20,N/A,2.2,N/A
27852,16,N/A,2.0,N/A
72199,20,N/A,N/A,N/A
81322,8,N/A,N/A,N/A
66376,32,N/A,N/A,N/A
53774,32,N/A,2.5,N/A
55933,50,N/A,2.5,N/A
55756,16,N/A,2.4,N/A
85263,N/A,N/A,N/A,N/A
73955,5,N/A,N/A,N/A
67045,16,N/A,2.5,N/A
55514,8,N/A,2.0,N/A
82273,13,N/A,N/A,N/A
72221,5,N/A,2.2,N/A
51346,8,N/A,N/A,N/A
61506,16,N/A,2.45,N/A
28759,N/A,N/A,N/A,N/A
84534,50,N/A,N/A,N/A
62019,8,N/A,2.2,N/A
60319,5,N/A,N/A,N/A
31468,16,N/A,2.5,N/A
84461,16,N/A,N/A,N/A
63451,8,5,2.0,N/A
74090,16,N/A,N/A,N/A
75776,0,N/A,N/A,N/A
63187,16,N/A,N/A,N/A
73552,13,N/A,N/A,N/A
60342,N/A,N/A,N/A,N/A
51223,5,N/A,2.2,N/A
54455,N/A,N/A,N/A,N/A
49969,16,N/A,2.1,N/A
60622,32,N/A,N/A,N/A
50771,16,N/A,N/A,N/A
62013,32,N/A,2.5,N/A
54438,5,N/A,N/A,N/A
55082,32,N/A,2.5,N/A
66360,16,N/A,N/A,N/A
64064,50,2,2.4,N/A
50678,16,N/A,2.5,N/A
84463,8,N/A,N/A,N/A
60625,16,N/A,2.4,N/A
60755,16,N/A,2.0,N/A
72502,32,N/A,N/A,N/A
59252,5,N/A,N/A,N/A
53437,16,N/A,2.0,N/A
64072,N/A,N/A,N/A,N/A
67547,8,N/A,N/A,N/A
55512,8,N/A,2.0,N/A
60694,N/A,N/A,N/A,N/A
64836,8,N/A,N/A,N/A
59597,N/A,N/A,N/A,N/A
46949,8,N/A,2.0,N/A
67366,16,N/A,N/A,N/A
63900,32,N/A,2.5,N/A
35922,20,N/A,N/A,N/A
60695,N/A,N/A,N/A,N/A
64269,32,N/A,2.4,N/A
28988,13,N/A,2.4,N/A
67369,16,N/A,2.45,N/A
72501,32,N/A,2.4,89
60165,16,N/A,2.5,N/A
72216,50,N/A,2.5,N/A
74344,16,N/A,N/A,N/A
53272,N/A,N/A,N/A,N/A
67731,16,N/A,2.0,N/A
53276,32,N/A,2.4,N/A
62345,0,N/A,N/A,N/A
72192,8,N/A,N/A,N/A
52711,N/A,N/A,N/A,N/A
66362,32,N/A,N/A,N/A
63453,25,N/A,2.0,N/A
55513,8,8,1.8,N/A
78042,50,N/A,2.0,N/A
49581,8,N/A,2.0,N/A
63070,16,N/A,2.2,N/A
62323,8,N/A,N/A,N/A
59052,8,N/A,2.0,N/A
62089,N/A,N/A,N/A,N/A
62040,N/A,N/A,N/A,N/A
60679,32,32,2.0,N/A
74345,16,N/A,N/A,N/A
67356,5,N/A,2.2,N/A
63454,8,N/A,2.0,N/A
52303,32,N/A,N/A,N/A
85457,32,N/A,N/A,N/A
72190,8,60,2.2,N/A
56070,N/A,N/A,N/A,N/A
17861,16,N/A,N/A,N/A
72225,5,N/A,2.2,N/A
81356,8,N/A,N/A,N/A
55531,8,N/A,2.4,N/A
55691,16,N/A,N/A,N/A
56135,6,N/A,2.3,N/A
77854,N/A,N/A,N/A,N/A
66254,16,N/A,N/A,N/A
31299,16,N/A,2.4,N/A
66241,N/A,N/A,N/A,N/A
81109,50,N/A,2.4,N/A
76433,32,N/A,2.0,N/A
51784,16,N/A,N/A,N/A
55519,8,N/A,2.0,N/A
51784,16,N/A,N/A,N/A
85267,N/A,N/A,N/A,N/A
30767,20,N/A,N/A,N/A
55529,8,N/A,2.4,N/A
55522,8,8,1.8,N/A
50260,8,N/A,2.0,N/A
62301,32,N/A,N/A,N/A
56132,16,N/A,N/A,N/A
64075,16,N/A,N/A,N/A
67044,N/A,N/A,N/A,N/A
59250,8,N/A,2.0,N/A
52473,16,N/A,N/A,N/A
50842,8,N/A,N/A,N/A
64468,16,16,N/A,N/A
66375,N/A,N/A,N/A,N/A
84535,32,N/A,N/A,N/A
66246,16,N/A,2.5,N/A
55532,8,N/A,2.0,N/A
55760,7,N/A,2.2,N/A
72116,8,N/A,2.0,N/A
62035,32,N/A,2.4,N/A
67043,N/A,N/A,N/A,N/A
64469,50,N/A,N/A,N/A
39979,8,N/A,2.0,N/A
25889,16,N/A,2.4,N/A
55937,N/A,N/A,N/A,N/A
14119,16,2,2.0,N/A
54451,32,N/A,2.4,N/A
79116,5,N/A,2.2,N/A
50203,16,N/A,2.5,N/A
54287,5,N/A,2.0,N/A
50696,5,N/A,2.0,N/A
54277,60,N/A,2.4,N/A
54962,32,N/A,N/A,N/A
64076,16,N/A,N/A,N/A
67959,16,N/A,N/A,N/A
78905,8,N/A,2.0,N/A
51789,N/A,N/A,N/A,N/A
64074,16,N/A,2.4,N/A
85235,N/A,N/A,N/A,N/A
85235,N/A,N/A,N/A,N/A
49970,16,N/A,2.5,N/A
69536,16,N/A,N/A,N/A
67549,16,N/A,N/A,N/A
54278,8,60,2.2,N/A
54670,N/A,N/A,N/A,N/A
46948,20,N/A,N/A,N/A
35117,20,N/A,N/A,N/A
79124,16,N/A,2.45,N/A
88457,N/A,N/A,N/A,N/A
84532,50,N/A,N/A,N/A
55508,16,N/A,2.0,N/A
67957,16,N/A,2.0,N/A
84349,50,N/A,N/A,N/A
76438,32,N/A,N/A,N/A
72115,8,N/A,2.0,N/A
77350,12,N/A,N/A,N/A
81358,8,N/A,N/A,N/A
54276,12,N/A,2.0,N/A
62020,16,16,2.5,N/A
62020,16,16,2.5,N/A
61507,50,N/A,2.,N/A
76428,32,N/A,N/A,N/A
81323,8,N/A,N/A,N/A
67046,32,N/A,N/A,N/A
76429,32,N/A,N/A,N/A
84467,8,N/A,N/A,N/A
85253,N/A,N/A,N/A,N/A
72203,32,N/A,1.8,N/A
51344,16,N/A,N/A,N/A
62351,0,N/A,N/A,N/A
63752,8,N/A,N/A,N/A
59594,N/A,N/A,N/A,N/A
66243,16,N/A,N/A,N/A
76427,32,N/A,N/A,N/A
54944,32,N/A,2.5,N/A
46954,8,N/A,2.0,N/A
49582,16,N/A,2.0,N/A
62036,60,N/A,2.2,N/A
62039,50,N/A,2.0,N/A
62327,16,N/A,2.4,N/A
49582,16,N/A,2.0,N/A
64070,16,N/A,2.4,N/A
72509,13,N/A,N/A,N/A
51335,8,N/A,2.0,N/A
54268,5,N/A,2.2,N/A
44998,5,N/A,N/A,N/A
52470,N/A,N/A,N/A,N/A
63941,10,N/A,N/A,N/A
89509,N/A,N/A,N/A,N/A
91267,N/A,N/A,N/A,N/A
64071,5,N/A,N/A,N/A
59268,8,N/A,2.0,N/A
59600,16,N/A,2.4,N/A
50680,16,N/A,N/A,N/A
82085,16,N/A,N/A,N/A
64065,50,N/A,N/A,N/A
67739,8,N/A,N/A,N/A
50876,N/A,N/A,N/A,N/A
46378,16,N/A,2.5,N/A
65348,20,32,2.4,N/A
64063,50,N/A,2.4,N/A
73394,8,N/A,2.0,N/A
85273,N/A,N/A,N/A,N/A
77575,16,N/A,N/A,N/A
61799,42,N/A,2.4,N/A
72206,32,N/A,1.8,N/A
67365,0,N/A,N/A,N/A
60345,32,N/A,N/A,N/A
75808,32,N/A,2.2,N/A
73019,32,N/A,N/A,N/A
72752,16,N/A,N/A,N/A
74662,8,N/A,2.05,N/A
76444,44,N/A,N/A,N/A
62361,N/A,N/A,N/A,N/A
67364,5,N/A,N/A,N/A
67370,50,N/A,2.4,N/A
67728,32,N/A,2.0,N/A
59253,5,N/A,2.0,N/A
72209,8,N/A,N/A,N/A
55067,5,N/A,N/A,N/A
64471,32,N/A,N/A,N/A
63455,32,N/A,2.2,N/A
67377,13,N/A,N/A,N/A
87091,N/A,N/A,N/A,N/A
53790,5,N/A,2.0,N/A
62719,8,N/A,2.0,N/A
62029,N/A,N/A,N/A,N/A
61509,8,N/A,2.0,N/A
51221,8,N/A,2.0,N/A
25779,16,N/A,2.0,N/A
66240,8,N/A,N/A,N/A
54269,13,N/A,N/A,N/A
54815,8,N/A,2.0,N/A
87089,24,N/A,N/A,N/A
