product_id,video_resolution_1 (pixels),video_fps_1 (fps),video_resolution_2 (pixels),video_fps_1 (fps),video_resolution_3 (pixels),video_fps_1 (fps)
78051,N/A,N/A,N/A,N/A,N/A,N/A
87123,2073600.0,30,N/A,N/A,N/A,N/A
90117,8294400.0,24 ,8294400.0,30 ,8294400.0,100 
82889,N/A,30 ,N/A,N/A,N/A,N/A
77301,2073600.0,30,N/A,N/A,N/A,N/A
73771,N/A,N/A,N/A,N/A,N/A,N/A
90115,8294400.0,24 ,8294400.0,30 ,2073600.0,25
59734,921600.0,30,2073600.0,30,N/A,60
29796,8294400.0,30,N/A,N/A,N/A,N/A
36486,8294400.0,30,2073600.0,60,921600.0,N/A
84612,33177600.0,30,N/A,120,N/A,N/A
65638,2073600.0,30,N/A,N/A,N/A,N/A
90120,8294400.0,24 ,921600.0,N/A,N/A,N/A
63068,2073600.0,30,N/A,N/A,N/A,N/A
33626,2073600.0,30,N/A,N/A,N/A,N/A
78197,2073600.0,30,N/A,N/A,N/A,N/A
90306,N/A,N/A,N/A,N/A,N/A,N/A
88459,2073600.0,30,N/A,30,N/A,N/A
56698,N/A,N/A,N/A,N/A,N/A,N/A
84614,8294400.0,60,N/A,120,N/A,N/A
79220,8294400.0,30,N/A,N/A,N/A,N/A
64928,N/A,30,N/A,N/A,N/A,N/A
51797,2073600.0,30,N/A,N/A,N/A,N/A
42153,8294400.0,60,N/A,N/A,N/A,N/A
58855,921600.0,120,921600.0,30,N/A,N/A
90677,N/A,N/A,N/A,N/A,N/A,N/A
90112,N/A,N/A,N/A,N/A,N/A,N/A
66832,N/A,N/A,N/A,N/A,N/A,N/A
60927,2073600.0,30,N/A,N/A,N/A,N/A
55753,2073600.0,30,N/A,N/A,N/A,N/A
86448,2073600.0,30,N/A,N/A,N/A,N/A
50676,2073600.0,24,2073600.0,60,921600.0,30
90114,8294400.0,24 ,8294400.0,30 ,2073600.0,25
25863,8294400.0,60,8294400.0,60,N/A,60
59593,N/A,N/A,N/A,N/A,N/A,N/A
54152,2073600.0,30,N/A,N/A,N/A,N/A
68168,N/A,N/A,N/A,N/A,N/A,N/A
62088,2073600.0,30,N/A,N/A,N/A,N/A
79064,2073600.0,30,N/A,N/A,N/A,N/A
17018,8294400.0,30,N/A,N/A,N/A,N/A
83931,921600.0,30,N/A,N/A,N/A,N/A
59736,921600.0,30,2073600.0,30,N/A,240
41145,2073600.0,30,N/A,N/A,N/A,N/A
49374,2073600.0,30,N/A,N/A,N/A,N/A
90119,8294400.0,24 ,921600.0,N/A,N/A,N/A
90675,2073600.0,30,N/A,N/A,N/A,N/A
33644,8294400.0,30,N/A,N/A,N/A,N/A
85820,921600.0,30,N/A,N/A,N/A,N/A
80254,N/A,N/A,N/A,N/A,N/A,N/A
86542,2073600.0,30,N/A,30,N/A,N/A
44939,2073600.0,30,N/A,N/A,N/A,N/A
90676,N/A,N/A,N/A,N/A,N/A,N/A
64828,921600.0,30,N/A,N/A,N/A,N/A
63898,2073600.0,30,N/A,N/A,N/A,N/A
53189,2073600.0,30,N/A,N/A,N/A,N/A
79802,N/A,N/A,N/A,N/A,N/A,N/A
39195,2073600.0,30,921600.0,30,921600.0,60
52293,N/A,30,N/A,30,N/A,N/A
48952,8294400.0,60,921600.0,960,N/A,N/A
64066,2073600.0,30,N/A,N/A,N/A,N/A
79801,N/A,N/A,N/A,N/A,N/A,N/A
82236,2073600.0,30,N/A,N/A,N/A,N/A
72735,N/A,30,N/A,30,N/A,N/A
74388,N/A,N/A,N/A,N/A,N/A,N/A
92113,8294400.0,24 ,8294400.0,30 ,8294400.0,100 
36639,2073600.0,60,8294400.0,30,921600.0,N/A
90113,N/A,N/A,N/A,N/A,N/A,N/A
50751,2073600.0,30,N/A,N/A,N/A,N/A
74096,2073600.0,30,N/A,N/A,N/A,N/A
79219,2073600.0,30,N/A,N/A,N/A,N/A
54445,2073600.0,30,N/A,N/A,N/A,N/A
54484,N/A,30,N/A,30,N/A,N/A
91339,N/A,N/A,N/A,N/A,N/A,N/A
50350,33177600.0,30,2073600.0,60,921600.0,60
57498,33177600.0,30,2073600.0,240,N/A,N/A
88631,N/A,N/A,N/A,N/A,N/A,N/A
89100,N/A,N/A,N/A,N/A,N/A,N/A
25864,8294400.0,60,8294400.0,60,N/A,60
33485,8294400.0,60,921600.0,30,N/A,N/A
45051,8294400.0,24 ,921600.0,30 ,33177600.0,25 
44930,33177600.0,30,2073600.0,240,N/A,N/A
62296,8294400.0,960,2073600.0,N/A,N/A,N/A
46352,8294400.0,30,N/A,N/A,N/A,N/A
27451,8294400.0,60,8294400.0,60,N/A,30
36499,8294400.0,60,921600.0,30,N/A,N/A
67556,8294400.0,30,N/A,N/A,N/A,N/A
32364,33177600.0,24,2073600.0,240,N/A,N/A
51990,8294400.0,24 ,921600.0,30 ,33177600.0,25 
44342,2073600.0,30,N/A,30,33177600.0,30
39188,8294400.0,30,921600.0,30,N/A,N/A
49700,N/A,N/A,N/A,N/A,N/A,N/A
55687,8294400.0,30,921600.0,960,N/A,N/A
51997,8294400.0,60,8294400.0,60,N/A,N/A
36243,8294400.0,30,2073600.0,60,921600.0,N/A
88715,N/A,N/A,N/A,N/A,N/A,N/A
55754,33177600.0,30,2073600.0,240,N/A,N/A
68862,8294400.0,60 ,921600.0,30 ,N/A,N/A
65313,33177600.0,30,N/A,N/A,N/A,N/A
49745,33177600.0,24,2073600.0,960,N/A,N/A
33627,33177600.0,24,2073600.0,240,N/A,N/A
42019,8294400.0,60,N/A,N/A,N/A,N/A
52306,8294400.0,N/A,N/A,N/A,N/A,N/A
30746,8294400.0,30,N/A,N/A,N/A,N/A
38610,33177600.0,24,N/A,N/A,N/A,N/A
78605,2073600.0,30,N/A,N/A,N/A,N/A
61511,2073600.0,60,8294400.0,30,921600.0,N/A
60676,2073600.0,30,N/A,N/A,N/A,N/A
32667,8294400.0,60,N/A,N/A,N/A,N/A
71941,8294400.0,60,N/A,N/A,N/A,N/A
36492,8294400.0,60,921600.0,30,N/A,N/A
49746,8294400.0,30,N/A,N/A,N/A,N/A
49381,8294400.0,60,2073600.0,30,2073600.0,24
35034,33177600.0,30,2073600.0,60,N/A,N/A
49793,33177600.0,24,2073600.0,920,2073600.0,N/A
62238,8294400.0,30,N/A,N/A,N/A,N/A
25217,8294400.0,60,33177600.0,24,2073600.0,240
41493,8294400.0,60,N/A,N/A,N/A,N/A
27478,8294400.0,60,8294400.0,60,N/A,60
44533,8294400.0,60,2073600.0,60,921600.0,30
33630,8294400.0,30,33177600.0,30,2073600.0,N/A
65918,N/A,N/A,N/A,N/A,N/A,N/A
68867,8294400.0,60 ,921600.0,30 ,N/A,N/A
77855,2073600.0,30,N/A,N/A,N/A,N/A
57237,2073600.0,30,N/A,N/A,N/A,N/A
42898,2073600.0,30,N/A,N/A,N/A,N/A
32366,33177600.0,24,2073600.0,240,N/A,N/A
33640,2073600.0,30,N/A,N/A,N/A,N/A
42339,8294400.0,60,921600.0,960,N/A,N/A
50348,33177600.0,24,N/A,N/A,N/A,N/A
75775,N/A,N/A,N/A,N/A,N/A,N/A
28517,8294400.0,60,921600.0,960,N/A,N/A
51995,8294400.0,60,8294400.0,60,N/A,N/A
73396,33177600.0,30,2073600.0,240,N/A,N/A
39407,N/A,N/A,N/A,N/A,N/A,N/A
61666,N/A,30,N/A,30,N/A,N/A
35920,8294400.0,30,921600.0,960,N/A,N/A
57320,921600.0,30,N/A,N/A,N/A,N/A
84464,N/A,N/A,N/A,N/A,N/A,N/A
82067,2073600.0,30,8294400.0,30,N/A,N/A
90941,N/A,N/A,N/A,N/A,N/A,N/A
64264,2073600.0,30,N/A,N/A,N/A,N/A
42974,33177600.0,24,2073600.0,240,N/A,N/A
57372,33177600.0,24,2073600.0,240,N/A,N/A
81359,N/A,N/A,N/A,N/A,N/A,N/A
70735,N/A,N/A,N/A,N/A,N/A,N/A
75778,N/A,N/A,N/A,N/A,N/A,N/A
71547,N/A,N/A,N/A,N/A,N/A,N/A
60343,2073600.0,30,N/A,N/A,N/A,N/A
64834,8294400.0,30,N/A,30,N/A,30
59296,8294400.0,60,2073600.0,960,N/A,N/A
55071,8294400.0,60,N/A,N/A,N/A,N/A
56074,8294400.0,30,921600.0,960,N/A,N/A
57708,2073600.0,30,N/A,N/A,N/A,N/A
28025,33177600.0,24,2073600.0,240,N/A,N/A
62014,8294400.0,30,N/A,N/A,N/A,N/A
84472,N/A,N/A,N/A,N/A,N/A,N/A
60619,N/A,N/A,N/A,N/A,N/A,N/A
78903,2073600.0,30,N/A,N/A,N/A,N/A
83579,N/A,N/A,N/A,N/A,N/A,N/A
75800,8294400.0,30,N/A,N/A,N/A,N/A
36493,8294400.0,60,921600.0,30,N/A,N/A
